ffy,stfips,st,age_at_start,age_at_lf,legally_free_first_day,total_kids_in_care_first_day,per_leg_free_first_day,became_legally_free,exit_one_year,per_exit_one_year
2010,20,KS,2,2,374,1262,0.296354992,232,87,0.375
2010,20,KS,3,3,385,1278,0.301251956,155,42,0.270967742
2010,20,KS,4,4,172,818,0.210268949,44,10,0.227272727
2010,21,KY,0,0,1128,5713,0.197444425,975,539,0.552820513
2010,21,KY,1,1,225,1872,0.120192308,409,305,0.745721271
2010,21,KY,2,2,266,1258,0.211446741,274,151,0.551094891
2010,21,KY,3,3,384,1422,0.270042194,205,71,0.346341463
2010,21,KY,4,4,253,1161,0.21791559,87,12,0.137931034
2010,22,LA,0,0,822,4479,0.183523108,718,417,0.580779944
2010,22,LA,1,1,261,1807,0.144438296,368,256,0.695652174
2010,22,LA,2,2,231,1161,0.198966408,230,123,0.534782609
2010,22,LA,3,3,224,972,0.230452675,110,35,0.318181818
2010,22,LA,4,4,106,539,0.196660482,10,3,0.3
2010,23,ME,0,0,508,1477,0.34394042,300,136,0.453333333
2010,23,ME,1,1,172,636,0.270440252,182,103,0.565934066
2010,23,ME,2,2,132,353,0.373937677,68,20,0.294117647
2010,23,ME,3,3,137,313,0.437699681,44,10,0.227272727
2010,23,ME,4,4,67,175,0.382857143,6,3,0.5
2010,24,MD,0,0,268,5884,0.045547247,276,214,0.775362319
2010,24,MD,1,1,76,1764,0.0430839,170,142,0.835294118
2010,24,MD,2,2,80,1285,0.062256809,68,54,0.794117647
2010,24,MD,3,3,75,1756,0.042710706,31,15,0.483870968
2010,24,MD,4,4,37,1079,0.03429101,7,3,0.428571429
2010,25,MA,0,0,1551,8223,0.188617293,843,345,0.409252669
2010,25,MA,1,1,544,2523,0.21561633,539,262,0.486085343
2010,25,MA,2,2,436,1716,0.254079254,196,56,0.285714286
2010,25,MA,3,3,408,2240,0.182142857,94,24,0.255319149
2010,25,MA,4,4,163,1744,0.093463303,14,3,0.214285714
2010,26,MI,0,0,4629,14972,0.309177131,2605,1165,0.447216891
2010,26,MI,1,1,1512,5365,0.281826654,1376,754,0.547965116
2010,26,MI,2,2,1182,3494,0.338294219,648,278,0.429012346
2010,26,MI,3,3,1258,3437,0.366016875,423,118,0.278959811
2010,26,MI,4,4,677,2676,0.252989537,158,15,0.094936709
2010,27,MN,0,0,1119,4350,0.257241379,567,256,0.451499118
2010,27,MN,1,1,392,1289,0.304111715,338,196,0.579881657
2010,27,MN,2,2,295,879,0.335608646,132,44,0.333333333
2010,27,MN,3,3,302,1243,0.242960579,79,13,0.164556962
2010,27,MN,4,4,130,939,0.138445154,18,3,0.166666667
2010,28,MS,0,0,518,2910,0.178006873,393,210,0.534351145
2010,28,MS,1,1,144,1106,0.130198915,183,127,0.693989071
2010,28,MS,2,2,146,732,0.199453552,118,47,0.398305085
2010,28,MS,3,3,149,668,0.223053892,65,27,0.415384615
2010,28,MS,4,4,79,404,0.195544554,27,9,0.333333333
2010,29,MO,0,0,1028,7156,0.143655674,1100,879,0.799090909
2010,29,MO,1,1,218,2547,0.085590891,583,516,0.885077187
2010,29,MO,2,2,239,1739,0.137435308,323,233,0.721362229
2010,29,MO,3,3,351,1769,0.198417185,154,101,0.655844156
2010,29,MO,4,4,220,1101,0.199818347,40,29,0.725
2010,30,MT,0,0,340,1526,0.222804718,257,135,0.525291829
2010,30,MT,1,1,93,604,0.15397351,126,84,0.666666667
2010,30,MT,2,2,89,422,0.210900474,82,43,0.524390244
2010,30,MT,3,3,110,355,0.309859155,36,7,0.194444444
2010,30,MT,4,4,48,145,0.331034483,13,1,0.076923077
2010,31,NE,0,0,554,4059,0.136486819,416,265,0.637019231
2010,31,NE,1,1,133,1287,0.103341103,207,158,0.763285024
2010,31,NE,2,2,168,951,0.176656151,130,77,0.592307692
2010,31,NE,3,3,163,1002,0.162674651,63,23,0.365079365
2010,31,NE,4,4,90,819,0.10989011,16,7,0.4375
2010,32,NV,0,0,998,4439,0.224825411,809,361,0.446229913
2010,32,NV,1,1,381,1916,0.198851775,431,240,0.556844548
2010,32,NV,2,2,310,1234,0.251215559,243,83,0.341563786
2010,32,NV,3,3,251,919,0.27312296,114,34,0.298245614
2010,32,NV,4,4,56,370,0.151351351,21,4,0.19047619
2010,33,NH,0,0,111,718,0.1545961,157,134,0.853503185
2010,33,NH,1,1,31,229,0.135371179,72,69,0.958333333
2010,33,NH,2,2,36,169,0.213017751,52,41,0.788461538
2010,33,NH,3,3,34,207,0.164251208,30,21,0.7
2010,33,NH,4,4,10,113,0.088495575,3,3,1
2010,34,NJ,0,0,1235,6855,0.180160467,1083,747,0.689750693
